Number,Direction,Feet,boundary
108,349.8244612,135.75,Pleasant Hill Rural Fire Protection District
109,349.8244592,158.56,Pleasant Hill Rural Fire Protection District
110,345.2568571,38.74,Pleasant Hill Rural Fire Protection District
111,345.2564996,107.19,Pleasant Hill Rural Fire Protection District
112,340.3461901,89.3,Pleasant Hill Rural Fire Protection District
113,340.3452776,21.11,Pleasant Hill Rural Fire Protection District
114,333.4350754,132.87,Pleasant Hill Rural Fire Protection District
115,332.5254678,53.07,Pleasant Hill Rural Fire Protection District
116,332.5253976,156.23,Pleasant Hill Rural Fire Protection District
117,334.0935522,289,Pleasant Hill Rural Fire Protection District
118,333.4349488,182.69,Pleasant Hill Rural Fire Protection District
119,337.1664636,77.45,Pleasant Hill Rural Fire Protection District
120,337.1663217,75.68,Pleasant Hill Rural Fire Protection District
121,337.1663935,153.12,Pleasant Hill Rural Fire Protection District
122,345.9638859,35.23,Pleasant Hill Rural Fire Protection District
123,345.9639133,87.27,Pleasant Hill Rural Fire Protection District
124,350.5378432,74.71,Pleasant Hill Rural Fire Protection District
125,350.5376778,5.23,Pleasant Hill Rural Fire Protection District
126,0.021974494,145.42,Pleasant Hill Rural Fire Protection District
127,11.79495123,8.77,Pleasant Hill Rural Fire Protection District
128,11.79461064,47.6,Pleasant Hill Rural Fire Protection District
129,11.79502661,8.23,Pleasant Hill Rural Fire Protection District
130,19.98212789,21.33,Pleasant Hill Rural Fire Protection District
131,19.98292467,17.66,Pleasant Hill Rural Fire Protection District
132,38.65957926,12.82,Pleasant Hill Rural Fire Protection District
133,38.6590214,29.85,Pleasant Hill Rural Fire Protection District
134,60.94736531,34.3,Pleasant Hill Rural Fire Protection District
135,74.74475605,26.33,Pleasant Hill Rural Fire Protection District
136,74.74431567,11.66,Pleasant Hill Rural Fire Protection District
137,90,53.31,Pleasant Hill Rural Fire Protection District
138,94.23624784,9.45,Pleasant Hill Rural Fire Protection District
139,94.23623143,80.75,Pleasant Hill Rural Fire Protection District
140,104.9317198,40.01,Pleasant Hill Rural Fire Protection District
141,104.9315206,11.71,Pleasant Hill Rural Fire Protection District
142,113.96214,98.44,Pleasant Hill Rural Fire Protection District
143,122.0059377,53.9,Pleasant Hill Rural Fire Protection District
144,122.0059258,40.39,Pleasant Hill Rural Fire Protection District
145,126.869754,183.24,Pleasant Hill Rural Fire Protection District
146,127.1167637,154.59,Pleasant Hill Rural Fire Protection District
147,122.1518476,10.16,Pleasant Hill Rural Fire Protection District
148,122.1531747,10.34,Pleasant Hill Rural Fire Protection District
149,122.1525628,117.23,Pleasant Hill Rural Fire Protection District
150,117.6456641,78.98,Pleasant Hill Rural Fire Protection District
151,111.8014929,125.59,Pleasant Hill Rural Fire Protection District
152,108.434862,136.97,Pleasant Hill Rural Fire Protection District
153,109.218399,90.16,Pleasant Hill Rural Fire Protection District
154,109.2191441,11.39,Pleasant Hill Rural Fire Protection District
155,99.46181302,84.97,Pleasant Hill Rural Fire Protection District
156,96.71073239,79.7,Pleasant Hill Rural Fire Protection District
157,90,83.81,Pleasant Hill Rural Fire Protection District
158,84.28863869,80.35,Pleasant Hill Rural Fire Protection District
159,84.28870047,13.24,Pleasant Hill Rural Fire Protection District
160,76.75991027,162.64,Pleasant Hill Rural Fire Protection District
161,72.12107949,131.45,Pleasant Hill Rural Fire Protection District
162,72.12116071,20.22,Pleasant Hill Rural Fire Protection District
163,61.92850508,12.26,Pleasant Hill Rural Fire Protection District
164,61.92815771,66.9,Pleasant Hill Rural Fire Protection District
165,57.26469356,98.62,Pleasant Hill Rural Fire Protection District
166,57.2646303,133.87,Pleasant Hill Rural Fire Protection District
167,48.01303897,11.11,Pleasant Hill Rural Fire Protection District
168,48.01280537,78.18,Pleasant Hill Rural Fire Protection District
169,48.01298162,35.99,Pleasant Hill Rural Fire Protection District
170,37.23477256,146.21,Pleasant Hill Rural Fire Protection District
171,33.69006754,19.28,Pleasant Hill Rural Fire Protection District
172,33.69017277,148.61,Pleasant Hill Rural Fire Protection District
173,25.2775363,185.38,Pleasant Hill Rural Fire Protection District
174,21.37066859,115,Pleasant Hill Rural Fire Protection District
175,5.195151048,25.92,Pleasant Hill Rural Fire Protection District
176,5.195029444,25.51,Pleasant Hill Rural Fire Protection District
177,0,74.5,Pleasant Hill Rural Fire Protection District
178,352.4050922,140.93,Pleasant Hill Rural Fire Protection District
179,347.988595,223.75,Pleasant Hill Rural Fire Protection District
180,338.1985441,75.23,Pleasant Hill Rural Fire Protection District
181,330.2558415,45.16,Pleasant Hill Rural Fire Protection District
182,330.255183,217.62,Pleasant Hill Rural Fire Protection District
183,316.1687357,146.48,Pleasant Hill Rural Fire Protection District
184,316.1692122,14.88,Pleasant Hill Rural Fire Protection District
185,310.6011944,40.69,Pleasant Hill Rural Fire Protection District
186,310.6012305,63.6,Pleasant Hill Rural Fire Protection District
187,310.6013131,110.35,Pleasant Hill Rural Fire Protection District
188,303.2749246,107.33,Pleasant Hill Rural Fire Protection District
189,303.2751581,70.9,Pleasant Hill Rural Fire Protection District
190,299.0539757,95.88,Pleasant Hill Rural Fire Protection District
191,309.806077,57.09,Pleasant Hill Rural Fire Protection District
192,309.8059524,88.37,Pleasant Hill Rural Fire Protection District
193,319.7637113,79.29,Pleasant Hill Rural Fire Protection District
194,331.3887672,17.46,Pleasant Hill Rural Fire Protection District
195,331.3891366,40.88,Pleasant Hill Rural Fire Protection District
196,345.9637566,9.1,Pleasant Hill Rural Fire Protection District
197,345.9644606,38.85,Pleasant Hill Rural Fire Protection District
198,345.9637565,9.64,Pleasant Hill Rural Fire Protection District
199,0,29.56,Pleasant Hill Rural Fire Protection District
200,272.0646093,1755.3,Goshen Rural Fire Protection District
201,1.615745042,2633.21,Goshen Rural Fire Protection District
202,271.718358,1312.86,Goshen Rural Fire Protection District
203,272.6895697,2627.61,Goshen Rural Fire Protection District
204,271.1854156,225.21,Goshen Rural Fire Protection District
205,271.1854473,807.6,Goshen Rural Fire Protection District
206,6.139508623,2.14,Goshen Rural Fire Protection District
207,271.2798397,101.19,Goshen Rural Fire Protection District
208,276.0141735,441.36,Goshen Rural Fire Protection District
209,6.821061689,474.72,Goshen Rural Fire Protection District
210,10.37848569,166.47,Goshen Rural Fire Protection District
211,15.88381525,985.48,Goshen Rural Fire Protection District
212,16.06373206,1133.39,Goshen Rural Fire Protection District
213,270.1635932,2731.78,Goshen Rural Fire Protection District
214,182.041726,86.36,Goshen Rural Fire Protection District
215,272.0159892,252.85,Goshen Rural Fire Protection District
216,0.385764509,128.01,Goshen Rural Fire Protection District
217,271.2255685,4689.97,Goshen Rural Fire Protection District
218,1.99604267,1199.14,Goshen Rural Fire Protection District
219,271.9350723,1876.7,Goshen Rural Fire Protection District
220,169.9834058,513.09,Goshen Rural Fire Protection District
221,169.9837399,503.68,Goshen Rural Fire Protection District
222,271.7726558,373.83,Goshen Rural Fire Protection District
223,181.7453578,1404.9,Goshen Rural Fire Protection District
224,183.5267803,115.09,Goshen Rural Fire Protection District
225,271.6243366,5,Goshen Rural Fire Protection District
226,269.0765184,2555.98,Goshen Rural Fire Protection District
227,181.5886026,559.06,Goshen Rural Fire Protection District
228,181.472257,253.03,Goshen Rural Fire Protection District
229,184.0406116,405.7,Goshen Rural Fire Protection District
230,271.5179183,2626.87,Goshen Rural Fire Protection District
231,0.884880636,1992.67,Goshen Rural Fire Protection District
232,0.665537522,3295.07,Goshen Rural Fire Protection District
233,2.667917588,323.38,Goshen Rural Fire Protection District
234,3.024044691,706.34,Goshen Rural Fire Protection District
235,3.276194899,503.23,Goshen Rural Fire Protection District
236,3.317461128,571.08,Goshen Rural Fire Protection District
237,91.5537749,685.69,Goshen Rural Fire Protection District
238,353.4319699,393.48,Goshen Rural Fire Protection District
239,347.9627236,116.72,Goshen Rural Fire Protection District
