Point,Coord_X,Coord_Y
334,4275589.762,837607.2329
335,4274590.594,837648.0148
336,4273590.918,837633.2595
337,4272609.597,837676.5512
338,4271651.455,837755.2484
339,4270651.463,837759.2759
340,4269651.471,837763.3035
341,4268651.48,837767.331
342,4267651.488,837771.3586
343,4267440.024,838318.2684
344,4267224.495,839276.4573
345,4266319.878,839481.0062
346,4265912.933,840310.3563
347,4266099.507,841279.7569
348,4265817.41,842233.5171
349,4265402.373,843140.6342
350,4265447.556,843947.143
351,4266314.171,843470.8658
352,4267270.865,843542.1266
353,4267818.672,844336.3304
354,4267411.237,845212.0344
355,4266646.852,845733.0256
356,4265647.502,845769.0518
357,4265142.142,846268.3153
358,4265170.339,847267.9177
359,4265198.537,848267.52
360,4264355.677,848445.3366
361,4263356.475,848484.3793
362,4262357.576,848531.3041
363,4261358.678,848578.2287
364,4260358.974,848601.3553
365,4259737.795,848981.1427
366,4259968.22,849952.0105
367,4260244.031,850913.2215
368,4259793.36,851328.3166
369,4258793.364,851331.1719
370,4257793.368,851334.0272
371,4257005.767,851393.0174
372,4256005.995,851414.4058
373,4255006.224,851435.7946
374,4254006.453,851457.1831
375,4253006.682,851478.5719
376,4252711.222,852165.7434
377,4252247.932,852700.0715
378,4251248.503,852733.8386
379,4250958.861,852151.4813
380,4250651.063,851543.2418
381,4250619.976,850543.7251
382,4249912.852,850227.399
383,4248912.982,850211.2723
384,4248042.632,850064.1138
385,4248001.682,849065.1601
386,4247080.655,849006.5144
387,4246080.992,849032.4426
388,4245373.193,849338.9462
389,4245384.999,850338.8766
390,4245407.369,851338.623
391,4245421.11,852338.5059
392,4245429.975,853338.4665
393,4245438.869,854338.4265
394,4245489.518,855337.1345
395,4245547.089,856335.4757
396,4246214.478,856627.6909
397,4246867.713,856908.148
398,4247867.502,856887.5965
399,4248254.659,857521.774
400,4248277.104,858496.9452
401,4247302.321,858525.1552
402,4246380.422,858691.7497
403,4247013.434,859297.5732
404,4247642.341,859971.5928
405,4248366.019,860265.2844
406,4248209.039,859293.4698
407,4248515.902,859013.7293
408,4249213.626,859126.3517
409,4249789.76,858468.2369
410,4250323.153,857840.2595
411,4250914.121,857427.6847
412,4251303.55,856839.2602
413,4252303.377,856820.6365
414,4253303.203,856802.0128
415,4253554.626,857580.689
416,4253599.233,858579.6936
417,4253643.84,859578.6982
418,4253334.136,860374.9065
419,4252384.053,860407.3914
420,4251480.285,860640.1493
421,4250493.898,860782.0873
422,4249494.391,860813.5177
423,4248686.382,861266.71
424,4248426.388,862027.3816
425,4247825.803,862502.5492
426,4248468.478,862801.2677
427,4248501.488,863790.4705
428,4248612.642,864691.9154
429,4248286.165,865360.4685
430,4247638.799,865771.8025
431,4246934.859,866065.8684
432,4290943.821,839292.7933
433,4290066.453,839017.7638
434,4289559.614,838521.4567
435,4289796.506,837785.5866
436,4290795.667,837765.5643
437,4291642.745,838244.5341
438,4291804.447,839010.3169
439,4291040.323,839392.3323
